Date,Time,Depth of Airgun(m),Depth of Reciever(m),X Airgun,Y Airgun,Z Airgun,X_R1,Y_R1,Z_R1,Peak_Index,T90_1,T90_2,T90_3,T90_4,T90_5,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SPL_MLM_1,SPL_MLM_2,SPL_MLM_3,SPL_MLM_4,SPL_MLM_5,SEL_MLM_1,SEL_MLM_2,SEL_MLM_3,SEL_MLM_4,SEL_MLM_5
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6445.6,223.1,9,1893,0.782,0.888,0.776,0.892,0.802,162.4386,158.5938,158.3075,147.9104,162.4803,161.3706,158.0779,157.2061,147.414,161.5221,62.7122,60.2892,59.6348,57.336,62.8634,128.6665,123.803,122.4939,115.8215,128.9733
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6434.7,217.1,9,1895,0.724,0.75,0.692,0.85,0.742,163.1155,160.1049,159.7822,150.2721,163.2412,161.7129,158.8555,158.1832,149.5663,161.9452,62.9039,60.7499,59.991,57.3736,63.0815,129.0479,124.1381,122.3776,115.9045,129.4077
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6423.7,211.2,9,1896,0.736,0.716,0.666,0.724,0.74,162.8898,159.6724,159.3205,149.6815,163.0511,161.5585,158.2215,157.5553,148.2789,161.7434,62.9459,60.9026,60.2986,57.8921,63.1718,129.1425,125.0294,123.0621,117.1086,129.6076
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6412.8,205.3,9,1898,0.768,0.76,0.7,0.854,0.77,162.5666,159.0948,158.6414,148.1593,162.7102,161.4202,157.9029,157.0923,147.4739,161.5751,62.6203,60.4153,59.9459,58.0123,62.8385,128.4975,124.0529,122.7933,117.899,128.9468
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6401.8,199.4,9,1899,0.76,0.746,0.692,0.766,0.762,162.6144,159.4488,159.0494,148.2607,162.7403,161.4225,158.1762,157.4504,147.103,161.5599,62.3309,60.1854,59.6701,57.2445,62.5035,127.9066,123.5924,121.5916,116.5502,128.2608
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6390.8,193.5,9,1901,0.774,0.744,0.68,0.742,0.77,162.6039,159.3255,159.0451,149.0745,162.797,161.4913,158.0412,157.3701,147.7786,161.662,62.2278,60.1519,59.7278,57.4021,62.4306,127.698,123.5266,122.3235,117.8811,128.1122
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6379.8,187.8,9,1902,0.81,0.766,0.718,0.862,0.812,162.1252,158.3379,157.7771,146.4517,162.2258,161.21,157.1802,156.3383,145.8068,161.3214,61.901,59.6427,59.1301,56.6925,62.0792,127.0529,122.5103,121.492,116.7376,127.4157
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6368.8,182,9,1904,0.756,0.738,0.688,0.756,0.756,163.6161,160.505,160.0205,150.0957,163.7794,162.4013,159.1856,158.3964,148.8809,162.5646,62.2356,59.7266,59.0389,57.006,62.4123,127.7119,122.6768,121.3022,116.9126,128.0706
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6357.7,176.3,9,1905,0.734,0.684,0.614,0.72,0.734,163.8815,161.291,161.1101,151.1942,164.0841,162.5384,159.6416,158.9918,149.7675,162.7411,62.4787,59.6498,59.0371,57.1329,62.6454,128.1944,122.5246,121.2949,116.7226,128.5331
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6346.6,170.6,9,1907,0.746,0.708,0.662,0.748,0.754,163.3975,160.4699,160.1054,149.3783,163.5076,162.1249,158.9703,158.314,148.1173,162.2813,62.7424,59.4918,58.796,56.6072,62.8557,128.7443,122.2072,120.8134,116.5335,128.9741
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6335.5,165,9,1908,0.758,0.7,0.636,0.756,0.756,163.1015,160.2592,160.0592,148.8419,163.2615,161.8982,158.7102,158.0937,147.6271,162.0467,62.6565,59.4357,58.6473,56.2379,62.75,128.6235,122.0937,120.5169,115.8204,128.8142
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6324.4,159.4,9,1910,0.762,0.684,0.614,0.73,0.756,163.4784,160.846,160.6809,149.9749,163.6827,162.2979,159.1965,158.5626,148.6082,162.4679,62.7736,60.0355,59.3772,56.7117,62.8854,128.8511,123.2965,121.9786,116.4748,129.0774
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6313.3,153.9,9,1911,0.794,0.688,0.62,0.732,0.792,163.055,160.4305,160.2372,149.7697,163.2427,162.0532,158.8064,158.1611,148.4148,162.2299,62.8055,60.0971,59.6004,56.5589,62.9136,128.9112,123.4208,121.8269,116.06,129.1276
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-6302.1,148.4,9,1913,0.824,0.74,0.668,0.836,0.828,162.9684,159.835,159.5426,147.8603,163.0742,162.1277,158.5273,157.7904,147.0823,162.2545,62.9118,59.7868,59.221,56.0847,62.9967,129.1164,122.8048,121.2312,114.7467,129.2868
