Line,Tape,File,Date,Time,Depth_at_Airgun(m),Depth_at_Reciever(m),X_Airgun,Y_Airgun,Z_Airgun,X_R1,Y_R1,Z_R1,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SEL_6,SEL_7,SEL_8,SEL_9,SEL_10,SEL_11,SEL_12,SEL_13,SEL_full
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3939.3,-56.9,9,156.4646,168.0513,177.7482,180.2456,179.7205,176.7348,170.2509,167.4572,170.3411,164.9758,159.769,155.0943,145.2888,183.6193
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3951.8,-57.1,9,159.2902,170.3363,179.6453,181.8177,181.0083,177.8602,171.134,167.975,171.1103,165.5461,155.2605,150.1802,143.73,185.0573
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3964.3,-57.2,9,159.1233,170.2151,179.4115,181.5554,180.6408,177.4618,170.8651,167.1996,170.2117,164.9624,155.1383,149.6119,143.044,184.7364
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3976.8,-57.4,9,159.3768,170.4828,179.5307,181.7107,180.868,177.6496,171.0087,167.0674,170.7044,165.9569,156.4878,150.2478,142.5978,184.9262
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-3989.3,-57.5,9,159.2754,170.4893,179.3348,181.3126,180.3367,177.1143,170.5476,166.9077,169.2861,164.0857,156.4237,150.2469,142.8379,184.5077
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4001.8,-57.7,9,159.2869,170.694,179.5921,181.5352,180.5299,177.2311,170.3676,167.29,170.0769,165.2263,156.4899,150.9081,143.9746,184.7214
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4014.3,-57.9,9,159.5259,170.8007,179.7919,181.6832,180.668,177.4569,170.5573,167.4651,170.6469,165.7367,155.5912,152.6804,143.9452,184.906
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4026.8,-58.1,9,159.0371,170.4075,179.3522,181.2386,180.2803,177.2552,170.3173,166.7335,169.8482,165.1681,153.8996,147.8985,142.931,184.4995
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4039.3,-58.3,9,159.2207,170.5964,179.5125,181.3743,180.4135,177.5351,170.5842,166.683,169.5274,165.0007,154.7878,150.6004,143.3648,184.6509
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4051.8,-58.4,9,159.2105,170.5798,179.5537,181.3962,180.3936,177.521,170.9298,167.2509,169.4353,164.5655,154.7118,152.4817,143.5368,184.6677
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4064.3,-58.7,9,159.1729,170.5874,179.6221,181.3863,180.3371,177.5871,171.1522,167.4918,169.8899,164.7435,155.4151,151.9514,144.3919,184.6967
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4076.8,-58.9,9,158.8441,170.3126,179.4209,181.1386,180.0319,177.4776,171.4991,167.6133,169.6807,164.8145,155.3824,150.648,143.3289,184.4886
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4089.2,-59.1,9,157.8351,169.3328,178.511,180.1656,178.8415,176.223,170.3047,166.404,168.1061,163.5262,153.6115,148.7057,143.655,183.4064
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4101.7,-59.3,9,157.1926,169.0288,178.2185,179.9251,178.5152,175.7232,169.6191,166.0987,167.1796,162.5746,154.9651,151.1476,142.8052,183.0596
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4114.2,-59.5,9,158.7123,170.1664,179.8055,181.4098,180.1459,177.3616,171.7368,168.1351,169.2594,164.4262,156.0979,152.7329,143.7722,184.6522
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4126.7,-59.8,9,157.7963,169.5196,179.0984,180.9993,179.2828,176.6348,171.2884,167.3042,167.3909,162.5994,156.3891,151.1969,144.4695,183.9823
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4139.2,-60,9,158.5066,169.8391,179.3754,181.1521,179.8219,177.2192,172.1168,168.3454,167.6978,162.0227,155.6439,149.5458,144.3928,184.3528
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4151.7,-60.3,9,157.9383,169.3896,179.0284,180.8714,179.4634,176.9236,171.8089,167.9848,166.4719,160.1611,154.7488,150.0954,144.3853,184.008
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4164.2,-60.5,9,157.9361,169.3198,179.0396,180.936,179.6092,177.2171,172.4337,168.8696,167.6114,161.539,156.9214,149.9919,144.2531,184.17
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4176.7,-60.8,9,157.5773,168.9505,178.8538,180.7581,179.4266,176.9427,171.9983,168.4388,166.6551,159.9257,154.5785,148.5342,143.8724,183.9321
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4189.2,-61.1,9,157.9274,169.148,179.1643,181.0687,179.7128,177.2123,172.1398,168.8406,167.1812,160.833,156.2748,150.0741,145.7849,184.2224
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4201.7,-61.4,9,158.0239,169.2102,179.4108,181.2628,179.7401,176.8164,170.8986,168.0308,167.634,160.3383,155.3036,151.5739,146.3065,184.2346
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4214.2,-61.7,9,157.9174,169.1399,179.5159,181.374,179.7913,176.8104,170.2621,167.7123,169.1165,161.8874,153.8869,148.9719,144.9595,184.3113
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4226.7,-62,9,158.2639,169.3628,180.0588,182.0509,180.623,177.7801,171.316,168.6683,170.4553,163.2631,153.6696,149.2425,142.8525,185.0571
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4239.1,-62.3,9,157.6093,168.8149,179.584,181.6048,180.2407,177.4029,170.752,167.7618,169.4822,162.6157,154.0249,148.6845,142.0534,184.5933
Machine-Learning-On-Seismic-Streamer-Data,example_shots,deep.RAW,198,5:16:43,2606,-99999,257881,5173662.2,9,-4251.6,-62.7,9,156.6029,167.9499,178.6888,180.7097,179.2969,176.4621,169.7607,166.7044,168.4575,161.9726,153.2984,152.2031,141.7986,183.6649
